			Position	Word Onset			Word Medial			Word Final		
bigram	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
ve	4620	90677	11.415059	1232	25262	10.137057	2963	54493	10.905828	425	10922	9.298534
oi	520	14443	9.577965	0	0	0	460	3322	8.108322	60	11121	9.31659
eg	3638	45571	10.727027	74	826	6.716595	3563	44743	10.70869	1	2	0.693147
gr	1956	23865	10.080168	700	14632	9.590966	1256	9233	9.130539	0	0	0
ig	2580	26001	10.16589	78	530	6.272877	2496	25453	10.144589	6	18	2.890372
bo	1616	11769	9.373224	698	6010	8.70118	806	4391	8.387312	112	1368	7.221105
oc	2922	34932	10.461159	184	4698	8.454892	2727	30143	10.313708	11	91	4.51086
co	12985	218627	12.295122	6171	135447	11.816336	4991	56370	10.939692	1823	26810	10.19653
of	874	6999	8.853523	125	1454	7.282074	748	5543	8.620291	1	2	0.693147
ff	1721	17382	9.76319	0	0	0	1719	17339	9.760714	2	43	3.7612
fa	2194	40496	10.608958	1091	33631	10.423204	1021	6132	8.721276	82	733	6.597146
ze	726	6835	8.829812	77	456	6.122493	301	1301	7.170888	348	5078	8.532673
or	10419	152815	11.936983	556	13108	9.480978	9752	137865	11.83403	111	1842	7.518607
rd	1577	19993	9.903137	0	0	0	1549	19113	9.858124	28	880	6.779922
il	4583	114022	11.644147	190	67973	11.126866	4365	45979	10.73594	28	70	4.248495
gg	2462	25782	10.157432	0	0	0	2462	25782	10.157432	0	0	0
gi	5295	71510	11.177593	1067	28311	10.251006	3898	36965	10.517727	330	6234	8.737773
rr	2616	26265	10.175993	0	0	0	2614	26239	10.175002	2	26	3.258097
ot	3198	37926	10.543392	182	2888	7.96832	2999	34932	10.461159	17	106	4.663439
zo	713	10268	9.236788	81	1144	7.042286	375	2086	7.643004	257	7038	8.859079
br	1486	15574	9.653358	574	5011	8.519391	912	10563	9.265113	0	0	0
ei	610	27113	10.207769	4	40	3.688879	235	947	6.853299	371	26126	10.170686
rn	1491	22133	10.004825	0	0	0	1491	22133	10.004825	0	0	0
vi	4406	60916	11.017251	1178	31546	10.359202	2390	24022	10.086725	838	5348	8.584478
id	2632	25977	10.164967	203	2618	7.870166	2414	23051	10.045464	15	308	5.7301
ur	3267	36705	10.510668	134	1129	7.029088	3102	34736	10.455532	31	840	6.733402
ru	1571	13126	9.48235	277	3114	8.043663	1284	9939	9.204222	10	73	4.290459
us	2093	25243	10.136304	167	3808	8.244859	1783	20694	9.937599	143	741	6.608001
uz	369	4681	8.451267	5	7	1.94591	364	4674	8.449771	0	0	0
bu	896	7946	8.980424	403	4458	8.402456	490	3481	8.155075	3	7	1.94591
uf	303	2735	7.913887	30	1406	7.248504	273	1329	7.192182	0	0	0
ui	1590	27993	10.23971	0	0	0	1512	15545	9.651494	78	12448	9.429315
bd	13	30	3.401197	0	0	0	13	30	3.401197	0	0	0
du	1173	20516	9.92896	185	10964	9.302372	980	9542	9.163458	8	10	2.302585
ul	1512	23676	10.072217	121	3326	8.109526	1381	15730	9.663325	10	4620	8.43815
et	5989	68918	11.140673	116	1432	7.266827	5821	67097	11.113895	52	389	5.963579
ez	965	12716	9.450616	2	23	3.135494	951	12625	9.443434	12	68	4.219508
lm	561	8291	9.022926	0	0	0	557	7020	8.856518	4	1271	7.147559
ma	6569	110053	11.608717	2687	56674	10.945071	3325	30754	10.333775	557	22625	10.026811
ae	238	4010	8.296547	46	498	6.2106	172	3432	8.140898	20	80	4.382027
tr	7227	106969	11.580294	1884	29265	10.284148	5343	77704	11.260662	0	0	0
