		Total			MonoSyll			Initial			Medial			Final			nGram_Total			nGram_Word_initial
phones	Syllable Length	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
sar	3	258	1016.000000	6.923629	0	0.000000	0.000000	61	317.000000	5.758902	194	690.000000	6.536692	3	9.000000	2.197225	562	13546.000000	9.513847	127	8855.000000	9.088738	
vo	2	2069	32044.000000	10.374865	0	0.000000	0.000000	267	7077.000000	8.864605	863	12410.000000	9.426258	939	12557.000000	9.438034	2395	34702.000000	10.454553	381	8762.000000	9.078179	
ran	3	1154	8570.000000	9.056023	0	0.000000	0.000000	43	157.000000	5.056246	1098	8319.000000	9.026297	13	94.000000	4.543295	2378	27814.000000	10.233295	57	277.000000	5.624018	
sja	3	185	3302.000000	8.102284	0	0.000000	0.000000	7	2033.000000	7.617268	124	686.000000	6.530878	54	583.000000	6.368187	229	3667.000000	8.207129	9	2038.000000	7.619724	
so	2	2731	83181.000000	11.328774	7	690.000000	6.536692	568	31817.000000	10.367756	888	10276.000000	9.237566	1268	40398.000000	10.606536	4487	103378.000000	11.546147	1974	48666.000000	10.792736	
sO	2	251	9001.000000	9.105091	0	0.000000	0.000000	83	7705.000000	8.949625	135	1049.000000	6.955593	33	247.000000	5.509388	445	11634.000000	9.361687	152	9297.000000	9.137447	
za	2	1647	28588.000000	10.260742	0	0.000000	0.000000	6	13.000000	2.564949	798	3590.000000	8.185907	843	24985.000000	10.126031	1890	29285.000000	10.284831	23	71.000000	4.262680	
tOz	3	11	54.000000	3.988984	0	0.000000	0.000000	6	20.000000	2.995732	5	34.000000	3.526361	0	0.000000	0.000000	11	54.000000	3.988984	6	20.000000	2.995732	
zi	2	533	7744.000000	8.954674	0	0.000000	0.000000	13	290.000000	5.669881	204	2936.000000	7.984803	316	4518.000000	8.415825	604	8119.000000	9.001962	28	356.000000	5.874931	
tEn	3	537	6714.000000	8.811950	0	0.000000	0.000000	27	666.000000	6.501290	509	6046.000000	8.707152	1	2.000000	0.693147	591	7116.000000	8.870101	39	826.000000	6.716595	
ter	3	1042	9980.000000	9.208338	0	0.000000	0.000000	181	2072.000000	7.636270	807	6693.000000	8.808817	54	1215.000000	7.102499	2296	22254.000000	10.010277	201	2341.000000	7.758333	
Le	2	245	3471.000000	8.152198	0	0.000000	0.000000	9	149.000000	5.003946	163	1082.000000	6.986566	73	2240.000000	7.714231	331	3937.000000	8.278174	9	149.000000	5.003946	
tu	2	1866	22728.000000	10.031353	7	827.000000	6.717805	139	1910.000000	7.554859	1689	19696.000000	9.888171	31	295.000000	5.686975	2545	43310.000000	10.676139	339	16627.000000	9.718783	
baz	3	24	58.000000	4.060443	0	0.000000	0.000000	6	14.000000	2.639057	18	44.000000	3.784190	0	0.000000	0.000000	24	58.000000	4.060443	6	14.000000	2.639057	
e	1	2783	125052.000000	11.736485	10	84690.000000	11.346753	2001	24844.000000	10.120372	311	3404.000000	8.132706	461	12114.000000	9.402117	81278	1555738.000000	14.257461	3309	132367.000000	11.793334	
bE	2	145	2953.000000	7.990577	9	177.000000	5.176150	52	2291.000000	7.736744	77	458.000000	6.126869	7	27.000000	3.295837	458	8774.000000	9.079548	210	6453.000000	8.772300	
