			Position	Word Onset			Word Medial			Word Final			Syllable Onset			Syllable Medial			Syllable Final			Cross Syllable
biPhone	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	
Lo	319	7646.000000	8.941938	0	0.000000	0.000000	155	2150.000000	7.673223	164	5496.000000	8.611776	319	7646.000000	8.941938	0	0.000000	0.000000	309	7473.000000	8.919052	0	0.000000	0.000000	
aN	466	5131.000000	8.543056	22	149.000000	5.003946	444	4982.000000	8.513587	0	0.000000	0.000000	22	149.000000	5.003946	0	0.000000	0.000000	466	5131.000000	8.543056	0	0.000000	0.000000	
NN	1676	24501.000000	10.106469	0	0.000000	0.000000	1676	24501.000000	10.106469	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	1676	24501.000000	10.106469	
Na	858	8825.000000	9.085344	0	0.000000	0.000000	722	5231.000000	8.562358	136	3594.000000	8.187021	858	8825.000000	9.085344	0	0.000000	0.000000	676	8090.000000	8.998384	0	0.000000	0.000000	
al	9220	178640.000000	12.093128	1335	68073.000000	11.128336	7752	102384.000000	11.536486	133	8183.000000	9.009814	1185	67946.000000	11.126469	4	21.000000	3.044522	3964	87710.000000	11.381791	5233	70657.000000	11.165592	
le	5953	127796.000000	11.758191	529	33770.000000	10.427328	2448	20220.000000	9.914427	2976	73806.000000	11.209195	5678	124980.000000	11.735909	86	968.000000	6.875232	4816	89754.000000	11.404828	6	16.000000	2.772589	
aj	472	4651.000000	8.444838	71	1258.000000	7.137278	401	3393.000000	8.129470	0	0.000000	0.000000	0	0.000000	0.000000	1	2.000000	0.693147	30	87.000000	4.465908	441	4562.000000	8.425516	
av	4576	63443.000000	11.057897	757	32487.000000	10.388595	3818	30945.000000	10.339967	1	11.000000	2.397895	470	4424.000000	8.394800	0	0.000000	0.000000	562	5667.000000	8.642415	4014	57776.000000	10.964329	
va	6324	74873.000000	11.223549	714	9977.000000	9.208038	3515	33667.000000	10.424273	2095	31229.000000	10.349102	6263	74616.000000	11.220110	11	38.000000	3.637586	5149	61690.000000	11.029877	0	0.000000	0.000000	
ai	811	18571.000000	9.829357	37	6831.000000	8.829226	219	1498.000000	7.311886	555	10242.000000	9.234252	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	811	18571.000000	9.829357	
on	13773	249363.000000	12.426665	153	1367.000000	7.220374	13538	186091.000000	12.133991	82	61905.000000	11.033356	125	1035.000000	6.942157	2	9.000000	2.197225	5603	131322.000000	11.785408	8168	118032.000000	11.678711	
oL	327	2292.000000	7.737180	0	0.000000	0.000000	327	2292.000000	7.737180	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	327	2292.000000	7.737180	0	0.000000	0.000000	
ol	7061	80541.000000	11.296522	152	3090.000000	8.035926	6891	76030.000000	11.238883	18	1421.000000	7.259116	72	2435.000000	7.797702	0	0.000000	0.000000	1741	25143.000000	10.132335	5320	55398.000000	10.922299	
lo	4122	66195.000000	11.100360	287	18069.000000	9.801953	1646	13450.000000	9.506734	2189	34676.000000	10.453803	3826	64458.000000	11.073769	73	515.000000	6.244167	3658	52152.000000	10.861918	0	0.000000	0.000000	
os	5027	51906.000000	10.857190	314	2871.000000	7.962416	4689	48808.000000	10.795650	24	227.000000	5.424950	294	2825.000000	7.946264	0	0.000000	0.000000	2274	29919.000000	10.306249	2753	21987.000000	9.998207	
rc	920	5627.000000	8.635332	0	0.000000	0.000000	917	5604.000000	8.631236	3	23.000000	3.135494	0	0.000000	0.000000	0	0.000000	0.000000	3	23.000000	3.135494	917	5604.000000	8.631236	
rl	2354	13464.000000	9.507775	0	0.000000	0.000000	2354	13464.000000	9.507775	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2354	13464.000000	9.507775	
la	8272	192842.000000	12.169626	976	78455.000000	11.270280	5070	35831.000000	10.486569	2226	78556.000000	11.271567	7581	188293.000000	12.145755	318	2718.000000	7.907652	6098	108065.000000	11.590488	0	0.000000	0.000000	
li	9025	87626.000000	11.380833	712	12614.000000	9.442563	5122	44807.000000	10.710120	3191	30205.000000	10.315763	8280	78288.000000	11.268150	131	742.000000	6.609349	7061	72036.000000	11.184921	0	0.000000	0.000000	
rm	2198	22357.000000	10.014895	0	0.000000	0.000000	2198	22357.000000	10.014895	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	2198	22357.000000	10.014895	
mi	5038	67650.000000	11.122103	1103	30325.000000	10.319728	2765	28170.000000	10.246013	1170	9155.000000	9.122055	4991	67251.000000	11.116187	19	336.000000	5.817111	4183	50019.000000	10.820158	0	0.000000	0.000000	
ro	7761	104740.000000	11.559236	615	7175.000000	8.878358	5261	48820.000000	10.795895	1885	48745.000000	10.794358	3886	46273.000000	10.742314	736	8212.000000	9.013352	6538	93227.000000	11.442793	2	2.000000	0.693147	
rs	2408	30559.000000	10.327415	0	0.000000	0.000000	2406	30491.000000	10.325187	2	68.000000	4.219508	0	0.000000	0.000000	0	0.000000	0.000000	2	68.000000	4.219508	2406	30491.000000	10.325187	
rt	3061	50766.000000	10.834982	0	0.000000	0.000000	3044	50265.000000	10.825064	17	501.000000	6.216606	0	0.000000	0.000000	0	0.000000	0.000000	17	501.000000	6.216606	3044	50265.000000	10.825064	
se	5589	94878.000000	11.460347	1491	41372.000000	10.630360	2308	27083.000000	10.206662	1790	26423.000000	10.181990	5576	94831.000000	11.459852	4	32.000000	3.465736	3771	53495.000000	10.887343	2	2.000000	0.693147	
er	13830	202161.000000	12.216820	237	2057.000000	7.629004	13335	151904.000000	11.931004	258	48200.000000	10.783114	95	712.000000	6.568078	0	0.000000	0.000000	5602	105893.000000	11.570184	8228	96268.000000	11.474891	
mo	4939	60770.000000	11.014852	1235	22713.000000	10.030693	1400	10931.000000	9.299358	2304	27126.000000	10.208248	4902	60676.000000	11.013304	31	82.000000	4.406719	3927	43763.000000	10.686544	0	0.000000	0.000000	
ne	6637	127954.000000	11.759426	383	40204.000000	10.601722	2225	17691.000000	9.780811	4029	70059.000000	11.157093	6611	127872.000000	11.758785	20	70.000000	4.248495	5793	92722.000000	11.437361	1	1.000000	0.000000	
ra	16041	207456.000000	12.242675	1353	16575.000000	9.715651	12156	115183.000000	11.654277	2532	75698.000000	11.234507	9675	124974.000000	11.735861	2551	29367.000000	10.287627	10289	151330.000000	11.927218	15	23.000000	3.135494	
rE	2256	27692.000000	10.228899	185	4486.000000	8.408717	2062	23112.000000	10.048107	9	94.000000	4.543295	1543	15728.000000	9.663198	408	7015.000000	8.855806	679	8190.000000	9.010669	1	2.000000	0.693147	
Eb	570	2985.000000	8.001355	9	243.000000	5.493061	560	2741.000000	7.916078	1	1.000000	0.000000	4	227.000000	5.424950	0	0.000000	0.000000	533	2801.000000	7.937732	37	184.000000	5.214936	
be	1790	20302.000000	9.918475	573	4071.000000	8.311644	765	6162.000000	8.726157	452	10069.000000	9.217217	1780	20282.000000	9.917489	9	19.000000	2.944439	1212	16539.000000	9.713477	1	1.000000	0.000000	
em	2224	22296.000000	10.012163	264	2304.000000	7.742402	1951	19937.000000	9.900333	9	55.000000	4.007333	70	358.000000	5.880533	0	0.000000	0.000000	522	9828.000000	9.192991	1702	12468.000000	9.430921	
ik	7689	72172.000000	11.186807	18	53.000000	3.970292	7618	71828.000000	11.182030	53	291.000000	5.673323	7	55.000000	4.007333	8	26.000000	3.258097	430	4770.000000	8.470102	7251	67376.000000	11.118044	
ka	11617	114265.000000	11.646276	3544	46285.000000	10.742573	6105	42523.000000	10.657800	1968	25457.000000	10.144746	10855	109326.000000	11.602090	435	2967.000000	7.995307	7742	81658.000000	11.310295	0	0.000000	0.000000	
nO	623	13096.000000	9.480062	183	9452.000000	9.153982	381	3265.000000	8.091015	59	379.000000	5.937536	612	13037.000000	9.475547	8	42.000000	3.737670	390	4561.000000	8.425297	0	0.000000	0.000000	
rb	714	4065.000000	8.310169	0	0.000000	0.000000	714	4065.000000	8.310169	0	0.000000	0.000000	0	0.000000	0.000000	1	1.000000	0.000000	0	0.000000	0.000000	713	4064.000000	8.309923	
bi	2902	27984.000000	10.239388	387	4307.000000	8.367997	2388	22004.000000	9.998980	127	1673.000000	7.422374	2861	27877.000000	10.235557	16	33.000000	3.496508	2482	25066.000000	10.129268	0	0.000000	0.000000	
